UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
SP,35,36703,Pederneiras,46.251
SP,35,36802,Pedra Bela,6.075
SP,35,36901,Pedranópolis,2.508
SP,35,37008,Pedregulho,16.676
SP,35,37107,Pedreira,47.361
SP,35,37156,Pedrinhas Paulista,3.085
SP,35,37206,Pedro de Toledo,11.240
SP,35,37305,Penápolis,63.047
SP,35,37404,Pereira Barreto,25.660
SP,35,37503,Pereiras,8.560
SP,35,37602,Peruíbe,67.548
SP,35,37701,Piacatu,5.922
SP,35,37800,Piedade,55.149
SP,35,37909,Pilar do Sul,28.963
SP,35,38006,Pindamonhangaba,166.475
SP,35,38105,Pindorama,16.877
SP,35,38204,Pinhalzinho,15.021
SP,35,38303,Piquerobi,3.685
SP,35,38501,Piquete,13.742
SP,35,38600,Piracaia,27.140
SP,35,38709,Piracicaba,400.949
SP,35,38808,Piraju,29.741
SP,35,38907,Pirajuí,25.259
SP,35,39004,Pirangi,11.362
SP,35,39103,Pirapora do Bom Jesus,18.604
SP,35,39202,Pirapozinho,27.295
SP,35,39301,Pirassununga,75.930
SP,35,39400,Piratininga,13.503
SP,35,39509,Pitangueiras,39.349
SP,35,39608,Planalto,5.167
SP,35,39707,Platina,3.521
SP,35,39806,Poá,116.530
SP,35,39905,Poloni,6.004
SP,35,40002,Pompéia,21.851
SP,35,40101,Pongaí,3.432
SP,35,40200,Pontal,49.047
SP,35,40259,Pontalinda,4.580
SP,35,40309,Pontes Gestal,2.577
SP,35,40408,Populina,4.186
SP,35,40507,Porangaba,9.779
SP,35,40606,Porto Feliz,52.785
SP,35,40705,Porto Ferreira,55.787
SP,35,40754,Potim,24.143
SP,35,40804,Potirendaba,17.201
SP,35,40853,Pracinha,3.971
SP,35,40903,Pradópolis,21.110
SP,35,41000,Praia Grande,319.146
SP,35,41059,Pratânia,5.204
SP,35,41109,Presidente Alves,4.108
SP,35,41208,Presidente Bernardes,13.190
SP,35,41307,Presidente Epitácio,44.006
SP,35,41406,Presidente Prudente,227.072
SP,35,41505,Presidente Venceslau,39.448
SP,35,41604,Promissão,40.027
SP,35,41653,Quadra,3.753
SP,35,41703,Quatá,14.006
SP,35,41802,Queiroz,3.351
SP,35,41901,Queluz,13.228
SP,35,42008,Quintana,6.587
SP,35,42107,Rafard,9.050
SP,35,42206,Rancharia,29.688
SP,35,42305,Redenção da Serra,3.863
SP,35,42404,Regente Feijó,20.124
SP,35,42503,Reginópolis,9.399
SP,35,42602,Registro,56.249
SP,35,42701,Restinga,7.504
SP,35,42800,Ribeira,3.351
SP,35,42909,Ribeirão Bonito,13.137
SP,35,43006,Ribeirão Branco,16.684
SP,35,43105,Ribeirão Corrente,4.682
SP,35,43204,Ribeirão do Sul,4.542
SP,35,43238,Ribeirão dos Índios,2.227
SP,35,43253,Ribeirão Grande,7.666
SP,35,43303,Ribeirão Pires,122.607
SP,35,43402,Ribeirão Preto,694.534
SP,35,43501,Riversul,5.607
SP,35,43600,Rifaina,3.618
SP,35,43709,Rincão,10.786
SP,35,43808,Rinópolis,10.003
SP,35,43907,Rio Claro,204.797
SP,35,44004,Rio das Pedras,34.704
SP,35,44103,Rio Grande da Serra,50.241
SP,35,44202,Riolândia,12.342
SP,35,44251,Rosana,17.015
SP,35,44301,Roseira,10.621
SP,35,44400,Rubiácea,3.093
SP,35,44509,Rubinéia,3.125
SP,35,44608,Sabino,5.564
SP,35,44707,Sagres,2.435
SP,35,44806,Sales,6.253
SP,35,44905,Sales Oliveira,11.779
SP,35,45001,Salesópolis,17.022
SP,35,45100,Salmourão,5.262
SP,35,45159,Saltinho,8.176
SP,35,45209,Salto,117.561
SP,35,45308,Salto de Pirapora,44.972
SP,35,45407,Salto Grande,9.297
SP,35,45506,Sandovalina,4.248
SP,35,45605,Santa Adélia,15.397
SP,35,45704,Santa Albertina,5.993
SP,35,45803,Santa Bárbara d'Oeste,192.536
SP,35,46009,Santa Branca,14.717
